Option,416_default_config,config_v8_bare_2
CONFIG_JOYSTICK_IFORCE,m,
CONFIG_IRNET,m,
CONFIG_INFINIBAND_QIB,m,
CONFIG_TOUCHSCREEN_CYTTSP_CORE,m,
CONFIG_PM_GENERIC_DOMAINS,y,
CONFIG_TOPSTAR_LAPTOP,m,
CONFIG_SMC_DIAG,m,
CONFIG_TOUCHSCREEN_WM9705,y,
CONFIG_TOUCHSCREEN_ELAN,y,
CONFIG_MPL3115,m,
CONFIG_FB_MATROX_I2C,m,
CONFIG_NSC_FIR,m,
CONFIG_RENESAS_DMA,,y
CONFIG_BMP280_I2C,m,
CONFIG_TOUCHSCREEN_WDT87XX_I2C,m,
CONFIG_ASUS_WIRELESS,m,
CONFIG_USB_OTG,,y
CONFIG_MEMSTICK_REALTEK_USB,m,
CONFIG_TABLET_USB_AIPTEK,m,
CONFIG_AS3935,m,
CONFIG_IDEAPAD_LAPTOP,m,
CONFIG_TOUCHSCREEN_USB_GOTOP,y,
CONFIG_MS5611,m,
CONFIG_TOUCHSCREEN_USB_E2I,y,
CONFIG_TOUCHSCREEN_TSC_SERIO,m,
CONFIG_TOUCHSCREEN_EKTF2127,m,
CONFIG_NET_VENDOR_FREESCALE,,y
CONFIG_FB_SAVAGE,m,
CONFIG_TOSHIBA_HAPS,m,
CONFIG_TOUCHSCREEN_USB_IDEALTEK,y,
CONFIG_FB_CYBER2000_DDC,y,
CONFIG_THINKPAD_ACPI_DEBUGFACILITIES,y,
CONFIG_JOYSTICK_AS5011,m,
CONFIG_INFINIBAND_BNXT_RE,m,
CONFIG_TOUCHSCREEN_BU21013,m,
CONFIG_ASUS_NB_WMI,m,
CONFIG_DEBUG_INFO,y,
CONFIG_MLX_PLATFORM,m,
CONFIG_KSDAZZLE_DONGLE,m,
CONFIG_SUNRPC_XPRT_RDMA,m,
CONFIG_MS5637,m,
CONFIG_TOUCHSCREEN_88PM860X,m,
CONFIG_TOUCHSCREEN_S6SY761,m,
CONFIG_SILEAD_DMI,y,
CONFIG_FB_RADEON_BACKLIGHT,y,
CONFIG_TOUCHSCREEN_USB_ZYTRONIC,y,
CONFIG_JOYSTICK_GRIP_MP,m,
CONFIG_ALIENWARE_WMI,m,
CONFIG_FB_MATROX_MYSTIQUE,y,
CONFIG_FB_AUO_K190X,m,
CONFIG_FB_NEOMAGIC,m,
CONFIG_MEMORY_HOTPLUG_DEFAULT_ONLINE,y,
CONFIG_TOUCHSCREEN_PCAP,m,
CONFIG_VZ89X,m,
CONFIG_INFINIBAND,m,
CONFIG_TOUCHSCREEN_INEXIO,m,
CONFIG_FB_RIVA,m,
CONFIG_TOUCHSCREEN_ZFORCE,m,
CONFIG_FB_SIS_300,y,
CONFIG_BACKLIGHT_PANDORA,m,
CONFIG_MEMORY_HOTPLUG,y,
CONFIG_HD44780,m,
CONFIG_CFAG12864B_RATE,20,
CONFIG_FB_S3_DDC,y,
CONFIG_DCDBAS,m,
CONFIG_TOUCHSCREEN_WM9713,y,
CONFIG_TABLET_USB_GTCO,m,
CONFIG_NET_9P_RDMA,m,
CONFIG_ACPI_TOSHIBA,m,
CONFIG_IIO_CROS_EC_BARO,m,
CONFIG_TOUCHSCREEN_TOUCHIT213,m,
CONFIG_CRC_PMIC_OPREGION,,y
CONFIG_JOYSTICK_IFORCE_232,y,
CONFIG_INTEL_CHTDC_TI_PWRBTN,,m
CONFIG_TOUCHSCREEN_TSC2007_IIO,y,
CONFIG_TOUCHSCREEN_MAX11801,m,
CONFIG_MPL115_I2C,m,
CONFIG_FB_KYRO,m,
CONFIG_SONY_LAPTOP,m,
CONFIG_VIDEO_VIA_CAMERA,m,
CONFIG_TOUCHSCREEN_GUNZE,m,
CONFIG_FB_ARC,m,
CONFIG_FB_N411,m,
CONFIG_WINBOND_FIR,m,
CONFIG_LCD_L4F00242T03,m,
CONFIG_TABLET_USB_KBTAB,m,
CONFIG_FB_SIS,m,
CONFIG_USB_FOTG210_HCD,m,y
CONFIG_NVME_TARGET_RDMA,m,
CONFIG_FB_SM501,m,
CONFIG_DRM_AMDGPU_CIK,y,
CONFIG_IIO_CROS_EC_SENSORS,m,
